question_id,mu,sigma,se_before,se_mean,se_std,delta_se,question,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,answer_10
sfq_3917--169/169_1555303.txt#0_0,2.0,1.0,-2.22e-16,0.011688766,0.014340737,0.005360316,,,,,,,,,,,
sfq_3917--169/169_1555303.txt#0_0,2.0,2.0,-2.22e-16,0.031217854,0.063559804,0.024889404,,,,,,,,,,,
wh_2414--73/73_48566.txt#0_0,0.0,0.5,-2.22e-16,2.037827774,0.028282829,-0.011697695,,,,,,,,,,,
wh_2414--73/73_48566.txt#0_0,0.0,1.0,-2.22e-16,1.997317998,0.060136182,-0.052207471,,,,,,,,,,,
wh_2414--73/73_48566.txt#0_0,0.0,2.0,-2.22e-16,1.819794086,0.138306311,-0.229731383,,,,,,,,,,,
wh_2414--73/73_48566.txt#0_0,0.5,0.5,-2.22e-16,2.035125151,0.029722524,-0.014400318,,,,,,,,,,,
wh_2414--73/73_48566.txt#0_0,0.5,1.0,-2.22e-16,1.992873375,0.059534829,-0.056652094,,,,,,,,,,,
wh_2414--73/73_48566.txt#0_0,0.5,2.0,-2.22e-16,1.800477414,0.13894436,-0.249048055,,,,,,,,,,,
wh_2414--73/73_48566.txt#0_0,1.0,0.5,-2.22e-16,2.037617224,0.027931899,-0.011908245,,,,,,,,,,,
wh_2414--73/73_48566.txt#0_0,1.0,1.0,-2.22e-16,1.995709055,0.057107429,-0.053816414,,,,,,,,,,,
wh_2414--73/73_48566.txt#0_0,1.0,2.0,-2.22e-16,1.815753825,0.143869544,-0.233771644,,,,,,,,,,,
wh_2414--73/73_48566.txt#0_0,2.0,0.5,-2.22e-16,2.034030327,0.032177878,-0.015495142,,,,,,,,,,,
wh_2414--73/73_48566.txt#0_0,2.0,1.0,-2.22e-16,1.992742089,0.063122244,-0.056783379,,,,,,,,,,,
wh_2414--73/73_48566.txt#0_0,2.0,2.0,-2.22e-16,1.825286831,0.13527767,-0.224238638,,,,,,,,,,,
sfq_11783--191/191_1732943.txt#0_1,0.0,0.5,-2.22e-16,1.284184688,0.078747829,-0.016188626,,,,,,,,,,,
sfq_11783--191/191_1732943.txt#0_1,0.0,1.0,-2.22e-16,1.237232867,0.14448571,-0.063140447,,,,,,,,,,,
sfq_11783--191/191_1732943.txt#0_1,0.0,2.0,-2.22e-16,1.106697451,0.236476502,-0.193675863,,,,,,,,,,,
