question_id,mu,delta_se_variance,delta_se_mean_abs,delta_se_max_abs
bb_4368--85/85_456496.txt#0_2,2,1.14E-33,1.68E-16,1.99E-16
bb_5116--124/124_2680471.txt#0_0,0,0.001119984,0.025799939,0.063917304
bb_5116--124/124_2680471.txt#0_0,0.5,0.000921936,0.02842761,0.063004686
bb_5116--124/124_2680471.txt#0_0,1,0.001410636,0.034727279,0.077331675
bb_5116--124/124_2680471.txt#0_0,2,0.00139562,0.0387206,0.080783491
bb_5507--150/150_954054.txt#0_1,0,5.10E-06,0.002079681,0.00443935
bb_5507--150/150_954054.txt#0_1,0.5,4.27E-05,0.014670872,0.020681337
bb_5507--150/150_954054.txt#0_1,1,0.000544272,0.020593331,0.047299755
bb_5507--150/150_954054.txt#0_1,2,4.42E-05,0.005499975,0.007487538
bb_618--61/61_2669551.txt#0_1,0,0.000455312,0.022747486,0.046098488
bb_618--61/61_2669551.txt#0_1,0.5,0.000444838,0.022640561,0.046058991
bb_618--61/61_2669551.txt#0_1,1,0.000207715,0.016785705,0.032211074
bb_618--61/61_2669551.txt#0_1,2,0.000373929,0.021215781,0.042456093
bb_6913--109/109_984790.txt#0_0,0,0.009626362,0.100350235,0.210589889
bb_6913--109/109_984790.txt#0_0,0.5,0.011142443,0.108513662,0.226321522
bb_6913--109/109_984790.txt#0_0,1,0.010450376,0.103632021,0.218205047
bb_6913--109/109_984790.txt#0_0,2,0.009425987,0.091782986,0.201402135
bb_6957--37/37_265768.txt#0_0,0,0.000361054,0.020799536,0.042546941
bb_6957--37/37_265768.txt#0_0,0.5,0.000561855,0.024470673,0.051223956
bb_6957--37/37_265768.txt#0_0,1,0.000165641,0.013132755,0.027805185
bb_6957--37/37_265768.txt#0_0,2,0.000172211,0.01009367,0.025135719
bb_7225--113/113_991549.txt#0_0,0,0.000128272,0.009332867,0.022376375
bb_7225--113/113_991549.txt#0_0,0.5,0.000185039,0.008367413,0.022019545
bb_7225--113/113_991549.txt#0_0,1,0.000187265,0.010914726,0.013361571
bb_7225--113/113_991549.txt#0_0,2,0.000290169,0.009865123,0.029413033
bb_7700--19/19_416201.txt#0_1,0,0.007176176,0.085374041,0.180128532
bb_7700--19/19_416201.txt#0_1,0.5,0.00945255,0.094734539,0.204042333
bb_7700--19/19_416201.txt#0_1,1,0.008793378,0.089151665,0.194690024
bb_7700--19/19_416201.txt#0_1,2,0.007741465,0.08688728,0.185386386
bb_7976--4/4_843121.txt#0_0,0,0.000865551,0.017442864,0.049465567
bb_7976--4/4_843121.txt#0_0,0.5,0.001125868,0.02860177,0.066989157
bb_7976--4/4_843121.txt#0_0,1,0.001573529,0.025661746,0.071457242
bb_7976--4/4_843121.txt#0_0,2,0.001353171,0.022444032,0.060013429
bb_8828--196/196_572064.txt#0_1,0,6.62E-34,6.25E-17,9.21E-17
bb_8828--196/196_572064.txt#0_1,0.5,9.00E-35,5.11E-17,6.00E-17
bb_8828--196/196_572064.txt#0_1,1,2.48E-34,5.66E-17,6.88E-17
bb_8828--196/196_572064.txt#0_1,2,1.80E-34,5.18E-17,6.22E-17
bb_8929--172/172_1033394.txt#0_0,0,0.005325466,0.059762329,0.142702791
bb_8929--172/172_1033394.txt#0_0,0.5,0.006535257,0.079263961,0.16999303
bb_8929--172/172_1033394.txt#0_0,1,0.003537933,0.053539793,0.120617065
bb_8929--172/172_1033394.txt#0_0,2,0.005359884,0.070228415,0.152732736
bb_9139--113/113_1038621.txt#0_1,0,0.026012291,0.169414944,0.349418831
bb_9139--113/113_1038621.txt#0_1,0.5,0.017716835,0.126610251,0.276385339
bb_9139--113/113_1038621.txt#0_1,1,0.023897432,0.152769598,0.326208311
bb_9139--113/113_1038621.txt#0_1,2,0.028394938,0.157851479,0.347523581
bb_9204--170/170_1040261.txt#0_2,0,3.58E-05,0.005604554,0.010871905
bb_9204--170/170_1040261.txt#0_2,0.5,0.000256654,0.009677665,0.026365243
bb_9204--170/170_1040261.txt#0_2,1,0.00029103,0.013496088,0.032954166
bb_9204--170/170_1040261.txt#0_2,2,0.000237239,0.01786482,0.035352882
bb_9463--32/32_2691228.txt#0_2,0,0.00360856,0.054120546,0.122232834
bb_9463--32/32_2691228.txt#0_2,0.5,0.003454784,0.052973097,0.11951476
bb_9463--32/32_2691228.txt#0_2,1,0.002750637,0.043422447,0.102868928
bb_9463--32/32_2691228.txt#0_2,2,0.003854314,0.056724163,0.126968836
bt_1031--61/61_537330.txt#0_0,0,0.020358212,0.125997082,0.287548398
bt_1031--61/61_537330.txt#0_0,0.5,0.025025757,0.138149658,0.317378768
bt_1031--61/61_537330.txt#0_0,1,0.020240687,0.122725197,0.284124709
bt_1031--61/61_537330.txt#0_0,2,0.021028478,0.127162205,0.29173081
bt_1265--Alan_Lake.txt#0_0,0,0.012239246,0.091168315,0.217061912
bt_1265--Alan_Lake.txt#0_0,0.5,0.01306741,0.101100473,0.230589095
bt_1265--Alan_Lake.txt#0_0,1,0.01042035,0.08631522,0.20238582
bt_1265--Alan_Lake.txt#0_0,2,0.013248482,0.102322298,0.232563502
bt_1509--135/135_2390355.txt#0_0,0,0.008610277,0.089627984,0.193966321
bt_1509--135/135_2390355.txt#0_0,0.5,0.011089889,0.099461703,0.21797043
bt_1509--135/135_2390355.txt#0_0,1,0.007663966,0.086133826,0.184083916
bt_1509--135/135_2390355.txt#0_0,2,0.009606695,0.089005381,0.19948955
bt_1538--42/42_1542499.txt#0_1,0,1.11E-07,0.000293394,0.000676861
bt_1538--42/42_1542499.txt#0_1,0.5,2.73E-06,0.001289604,0.00319623
bt_1538--42/42_1542499.txt#0_1,1,6.01E-06,0.003593814,0.006268004
bt_1538--42/42_1542499.txt#0_1,2,1.24E-08,0.00030855,0.000426774
bt_1811--193/193_2452704.txt#0_1,0,0.014820044,0.108556716,0.24648226
bt_1811--193/193_2452704.txt#0_1,0.5,0.015650328,0.102927006,0.245413487
bt_1811--193/193_2452704.txt#0_1,1,0.016990091,0.119994456,0.267436199
bt_1811--193/193_2452704.txt#0_1,2,0.019135774,0.104678607,0.262707626
bt_1811--193/193_2452704.txt#0_2,0,0.022915061,0.151376898,0.320724166
bt_1811--193/193_2452704.txt#0_2,0.5,0.022023121,0.141540999,0.308422847
bt_1811--193/193_2452704.txt#0_2,1,0.024278442,0.150004169,0.325157998
bt_1811--193/193_2452704.txt#0_2,2,0.021786251,0.133910672,0.299991362
bt_1833--26/26_2841025.txt#0_0,0,4.06E-06,0.00332088,0.005026505
bt_1833--26/26_2841025.txt#0_0,0.5,2.70E-05,0.005013634,0.010472014
bt_1833--26/26_2841025.txt#0_0,1,2.36E-05,0.013297473,0.018622718
bt_1833--26/26_2841025.txt#0_0,2,2.13E-05,0.003780451,0.009111635
bt_2066--111/111_2841537.txt#0_2,0,0.004262617,0.05574113,0.129762402
bt_2066--111/111_2841537.txt#0_2,0.5,0.003966269,0.049563105,0.120946254
bt_2066--111/111_2841537.txt#0_2,1,0.003390966,0.048300463,0.114585624
bt_2066--111/111_2841537.txt#0_2,2,0.004476514,0.057840034,0.13379758
bt_2178--180/180_535996.txt#0_2,0,0.021990646,0.136107944,0.30364557
bt_2178--180/180_535996.txt#0_2,0.5,0.019483658,0.120369526,0.278698841
bt_2178--180/180_535996.txt#0_2,1,0.018006466,0.127581928,0.278451198
bt_2178--180/180_535996.txt#0_2,2,0.017455978,0.123082528,0.272109835
bt_2235--118/118_319041.txt#0_0,0,2.65E-07,0.000769294,0.001275169
bt_2235--118/118_319041.txt#0_0,0.5,3.95E-05,0.006391045,0.013345991
bt_2235--118/118_319041.txt#0_0,1,3.94E-05,0.00487833,0.011484116
bt_2235--118/118_319041.txt#0_0,2,1.72E-05,0.003097109,0.007674594
bt_2646--138/138_2413763.txt#0_2,0,0.00124786,0.033591171,0.073226609
bt_2646--138/138_2413763.txt#0_2,0.5,0.001215423,0.034976778,0.073683789
bt_2646--138/138_2413763.txt#0_2,1,0.001348581,0.032248711,0.073615233
bt_2646--138/138_2413763.txt#0_2,2,0.001645291,0.037423764,0.083322198
bt_2892--150/150_2107251.txt#0_0,0,0.025369816,0.145234254,0.325471334
bt_2892--150/150_2107251.txt#0_0,0.5,0.023776713,0.143254571,0.317263767
bt_2892--150/150_2107251.txt#0_0,1,0.022802245,0.134411324,0.305446877
bt_2892--150/150_2107251.txt#0_0,2,0.022000989,0.133170263,0.301214194
bt_3044--15/15_470066.txt#0_1,0,0.007720971,0.078428463,0.17786778
bt_3044--15/15_470066.txt#0_1,0.5,0.006735167,0.072440213,0.16529218
bt_3044--15/15_470066.txt#0_1,1,0.008334838,0.075198554,0.178964638
bt_3044--15/15_470066.txt#0_1,2,0.009068785,0.082065575,0.190026459
bt_615--93/93_253274.txt#0_1,0,0.000222416,0.009085882,0.025717328
bt_615--93/93_253274.txt#0_1,0.5,0.001780345,0.032645173,0.080878825
bt_615--93/93_253274.txt#0_1,1,0.001284756,0.036890702,0.077469379
bt_615--93/93_253274.txt#0_1,2,0.001770491,0.031946506,0.080122171
dpql_1122--112/112_553537.txt#0_3,0,0.002335898,0.044761117,0.099545751
dpql_1122--112/112_553537.txt#0_3,0.5,0.002515377,0.042093386,0.098976268
dpql_1122--112/112_553537.txt#0_3,1,0.001993018,0.041081433,0.091323743
dpql_1122--112/112_553537.txt#0_3,2,0.00290151,0.053269414,0.113812426
dpql_1447--149/149_591689.txt#0_0,0,0.00028577,0.012178552,0.031534674
dpql_1447--149/149_591689.txt#0_0,0.5,0.000222621,0.013005979,0.029864761
dpql_1447--149/149_591689.txt#0_0,1,0.000269545,0.014985251,0.033517331
dpql_1447--149/149_591689.txt#0_0,2,9.50E-05,0.007248314,0.017818774
dpql_151--178/178_231745.txt#0_2,0,0.001097455,0.029176066,0.066540484
dpql_151--178/178_231745.txt#0_2,0.5,0.001120452,0.034515506,0.072194741
dpql_151--178/178_231745.txt#0_2,1,0.000488145,0.016014656,0.040022839
dpql_151--178/178_231745.txt#0_2,2,0.001292383,0.032543451,0.073533478
dpql_1783--160/160_2646247.txt#0_0,0,2.62E-34,1.73E-16,1.90E-16
dpql_1783--160/160_2646247.txt#0_0,0.5,3.48E-34,1.66E-16,1.82E-16
dpql_1783--160/160_2646247.txt#0_0,1,3.09E-34,1.91E-16,2.07E-16
dpql_1783--160/160_2646247.txt#0_0,2,3.34E-34,1.89E-16,2.00E-16
dpql_2064--32/32_2647072.txt#0_0,0,0.01510314,0.110721182,0.250299557
dpql_2064--32/32_2647072.txt#0_0,0.5,0.014227237,0.107014415,0.242063886
dpql_2064--32/32_2647072.txt#0_0,1,0.013509452,0.097821325,0.230318501
dpql_2064--32/32_2647072.txt#0_0,2,0.010699617,0.092140756,0.209374279
dpql_2287--128/128_614230.txt#0_0,0,0.00264245,0.030981911,0.085818294
dpql_2287--128/128_614230.txt#0_0,0.5,0.000889583,0.0189248,0.046544982
dpql_2287--128/128_614230.txt#0_0,1,0.001177534,0.02177625,0.053541076
dpql_2287--128/128_614230.txt#0_0,2,0.002025089,0.036628292,0.087818952
dpql_2287--128/128_614230.txt#0_1,0,0.002991308,0.035224167,0.097019037
dpql_2287--128/128_614230.txt#0_1,0.5,0.0028199,0.036589122,0.09759938
dpql_2287--128/128_614230.txt#0_1,1,0.003019499,0.049814741,0.112631307
dpql_2287--128/128_614230.txt#0_1,2,0.001609866,0.028337667,0.073964535
dpql_2291--49/49_614335.txt#0_0,0,0.004319799,0.046876612,0.122383393
dpql_2291--49/49_614335.txt#0_0,0.5,0.00752063,0.07580022,0.174555657
dpql_2291--49/49_614335.txt#0_0,1,0.007301306,0.071804553,0.169173491
dpql_2291--49/49_614335.txt#0_0,2,0.003908701,0.058369893,0.12938217
dpql_2455--24/24_81962.txt#0_0,0,0.021162218,0.138982813,0.302742804
dpql_2455--24/24_81962.txt#0_0,0.5,0.016777519,0.118944577,0.26507323
dpql_2455--24/24_81962.txt#0_0,1,0.014299025,0.104866614,0.240441956
dpql_2455--24/24_81962.txt#0_0,2,0.018170273,0.123969397,0.276375162
dpql_3121--176/176_546993.txt#0_1,0,1.14E-33,2.63E-16,2.85E-16
dpql_3121--176/176_546993.txt#0_1,0.5,6.08E-35,2.71E-16,2.79E-16
dpql_3121--176/176_546993.txt#0_1,1,3.74E-35,2.63E-16,2.70E-16
dpql_3121--176/176_546993.txt#0_1,2,1.19E-34,2.63E-16,2.70E-16
dpql_3467--85/85_645957.txt#0_1,0,0.021610881,0.130793108,0.297213626
dpql_3467--85/85_645957.txt#0_1,0.5,0.017284256,0.115752039,0.265154964
dpql_3467--85/85_645957.txt#0_1,1,0.016095441,0.116368171,0.259672361
dpql_3467--85/85_645957.txt#0_1,2,0.015683903,0.10925141,0.251394772
dpql_3579--194/194_311741.txt#0_1,0,0.01744224,0.114721853,0.263602019
dpql_3579--194/194_311741.txt#0_1,0.5,0.021189688,0.131098323,0.295614725
dpql_3579--194/194_311741.txt#0_1,1,0.024538519,0.155839359,0.331210277
dpql_3579--194/194_311741.txt#0_1,2,0.020348612,0.134315584,0.294962585
dpql_3600--123/123_649287.txt#0_1,0,0.009470957,0.086011016,0.196554043
dpql_3600--123/123_649287.txt#0_1,0.5,0.008811858,0.079445652,0.185975228
dpql_3600--123/123_649287.txt#0_1,1,0.010208255,0.086762375,0.201522798
dpql_3600--123/123_649287.txt#0_1,2,0.010079493,0.087222788,0.200930989
dpql_376--165/165_2911834.txt#0_2,0,0.001755154,0.035087608,0.082732693
dpql_376--165/165_2911834.txt#0_2,0.5,0.002613211,0.042081362,0.100263027
dpql_376--165/165_2911834.txt#0_2,1,0.003343577,0.049115445,0.114794514
dpql_376--165/165_2911834.txt#0_2,2,0.002483762,0.045618775,0.102443641
dpql_3949--142/142_1672963.txt#0_1,0,0.0117848,0.099698294,0.222252783
dpql_3949--142/142_1672963.txt#0_1,0.5,0.013421026,0.105946196,0.23686379
dpql_3949--142/142_1672963.txt#0_1,1,0.011228454,0.097260263,0.216975521
